Rig,OLD,OLD,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Nvme,Bios,Renamed,Pdu Port set,Ip set,Commisioned,Partition,Deployed,VastAi,Tower Number,Company's Serial Number,Notes
B12302,80:e8:2c:e2:e2:06,80:e8:2c:e2:e2:07,80:e8:2c:e2:c8:28,80:e8:2c:e2:c8:29,10.10.123.2,10.10.200.126,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1394,,
B12303,80:e8:2c:e2:8f:4d,80:e8:2c:e2:8f:4e,80:e8:2c:e2:8f:4d,80:e8:2c:e2:8f:4e,10.10.123.3,10.10.200.125,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1360,,
B12304,80:e8:2c:e2:c8:28,80:e8:2c:e2:c8:29,80:e8:2c:e2:e2:06,80:e8:2c:e2:e2:07,10.10.123.4,10.10.200.126,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1368,,
B12305,80:e8:2c:e2:e1:8d,80:e8:2c:e2:e1:8e,80:e8:2c:e2:df:88,80:e8:2c:e2:df:89,10.10.123.5,10.10.200.125,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1383,,
B12306,80:e8:2c:e2:df:f6,80:e8:2c:e2:df:f7,80:e8:2c:e2:f2:60,80:e8:2c:e2:f2:61,10.10.123.6,10.10.200.126,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1382,,
B12307,80:e8:2c:e2:e2:78,80:e8:2c:e2:e2:79,80:e8:2c:e2:ea:57,80:e8:2c:e2:ea:58,10.10.123.7,10.10.200.125,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1325,,
B12308,80:e8:2c:e2:ea:e4,80:e8:2c:e2:ea:e5,80:e8:2c:e2:ea:e4,80:e8:2c:e2:ea:e5,10.10.123.8,10.10.200.126,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1344,,
B12309,80:e8:2c:e2:ea:57,80:e8:2c:e2:ea:58,80:e8:2c:e2:e2:78,80:e8:2c:e2:e2:79,10.10.123.9,10.10.200.125,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1347,,
B12310,80:e8:2c:e2:f2:60,80:e8:2c:e2:f2:61,80:e8:2c:e2:df:f6,80:e8:2c:e2:df:f7,10.10.123.10,10.10.200.126,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1328,,
B12311,80:e8:2c:e2:f4:bf,80:e8:2c:e2:f4:c0,80:e8:2c:e2:e2:01,80:e8:2c:e2:e2:02,10.10.123.11,10.10.200.125,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1320,,
B12312,80:e8:2c:e2:dd:d6,80:e8:2c:e2:dd:d7,80:e8:2c:e2:e1:f0,80:e8:2c:e2:e1:f1,10.10.123.12,10.10.200.126,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1375,,
B12313,80:e8:2c:e0:26:93,80:e8:2c:e0:26:94,80:e8:2c:e0:26:93,80:e8:2c:e0:26:94,10.10.123.13,10.10.200.125,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1348,,
B12314,80:e8:2c:e2:e1:f0,80:e8:2c:e2:e1:f1,80:e8:2c:e2:dd:d6,80:e8:2c:e2:dd:d7,10.10.123.14,10.10.200.126,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1327,,
B12315,80:e8:2c:e2:e2:01,80:e8:2c:e2:e2:02,80:e8:2c:e2:f4:bf,80:e8:2c:e2:f4:c0,10.10.123.15,10.10.200.125,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1350,,
B12316,80:e8:2c:e2:c7:8c,80:e8:2c:e2:c7:8d,80:e8:2c:e2:e1:d6,80:e8:2c:e2:e1:d7,10.10.123.16,10.10.200.126,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1376,,
B12317,80:e8:2c:e2:df:32,80:e8:2c:e2:df:33,80:e8:2c:e2:f3:54,80:e8:2c:e2:f3:55,10.10.123.17,10.10.200.125,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1346,,
B12318,80:e8:2c:e2:f2:1e,80:e8:2c:e2:f2:1f,80:e8:2c:e2:f2:1e,80:e8:2c:e2:f2:1f,10.10.123.18,10.10.200.126,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1419,,
B12319,80:e8:2c:e2:f3:54,80:e8:2c:e2:f3:55,80:e8:2c:e2:df:32,80:e8:2c:e2:df:33,10.10.123.19,10.10.200.125,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1326,,
B12320,80:e8:2c:e2:e1:d6,80:e8:2c:e2:e1:d7,80:e8:2c:e2:c7:8c,80:e8:2c:e2:c7:8d,10.10.123.20,10.10.200.126,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1386,,
B12401,80:e8:2c:e2:f5:fe,80:e8:2c:e2:f5:ff,80:e8:2c:e2:f1:a2,80:e8:2c:e2:f1:a3,10.10.124.1,10.10.200.127,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1369,,
B12402,80:e8:2c:e2:95:d0,80:e8:2c:e2:95:d1,80:e8:2c:e2:91:28,80:e8:2c:e2:91:29,10.10.124.2,10.10.200.128,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1365,,
B12403,80:e8:2c:e2:f6:28,80:e8:2c:e2:f6:29,80:e8:2c:e2:f6:28,80:e8:2c:e2:f6:29,10.10.124.3,10.10.200.127,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1385,,
B12404,80:e8:2c:e2:91:28,80:e8:2c:e2:91:29,80:e8:2c:e2:95:d0,80:e8:2c:e2:95:d1,10.10.124.4,10.10.200.128,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1384,,
B12405,80:e8:2c:e2:f1:a2,80:e8:2c:e2:f1:a3,80:e8:2c:e2:f5:fe,80:e8:2c:e2:f5:ff,10.10.124.5,10.10.200.127,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1392,,
B12406,80:e8:2c:e2:ea:92,80:e8:2c:e2:ea:93,80:e8:2c:e2:f0:e8,80:e8:2c:e2:f0:e9,10.10.124.6,10.10.200.128,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1356,,
B12407,80:e8:2c:e2:de:bd,80:e8:2c:e2:de:be,80:e8:2c:e2:92:e9,80:e8:2c:e2:92:ea,10.10.124.7,10.10.200.127,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1399,,
B12408,80:e8:2c:e2:f3:4d,80:e8:2c:e2:f3:4e,80:e8:2c:e2:f3:4d,80:e8:2c:e2:f3:4e,10.10.124.8,10.10.200.128,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1359,,
B12409,80:e8:2c:e2:92:e9,80:e8:2c:e2:92:ea,80:e8:2c:e2:de:bd,80:e8:2c:e2:de:be,10.10.124.9,10.10.200.127,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1390,,
B12410,80:e8:2c:e2:f0:e8,80:e8:2c:e2:f0:e9,80:e8:2c:e2:ea:92,80:e8:2c:e2:ea:93,10.10.124.10,10.10.200.128,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1389,,
B12411,80:e8:2c:e2:e0:04,80:e8:2c:e2:e0:05,80:e8:2c:e2:f5:6c,80:e8:2c:e2:f5:6d,10.10.124.11,10.10.200.127,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1358,,
B12412,80:e8:2c:e2:96:09,80:e8:2c:e2:96:0a,80:e8:2c:e2:f3:99,80:e8:2c:e2:f3:9a,10.10.124.12,10.10.200.128,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1398,,
B12413,80:e8:2c:e2:f1:50,80:e8:2c:e2:f1:51,80:e8:2c:e2:f1:50,80:e8:2c:e2:f1:51,10.10.124.13,10.10.200.127,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1397,,
B12414,80:e8:2c:e2:f3:99,80:e8:2c:e2:f3:9a,80:e8:2c:e2:96:09,80:e8:2c:e2:96:0a,10.10.124.14,10.10.200.128,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1418,,
B12415,80:e8:2c:e2:f5:6c,80:e8:2c:e2:f5:6d,80:e8:2c:e2:e0:04,80:e8:2c:e2:e0:05,10.10.124.15,10.10.200.127,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1401,,
B12416,80:e8:2c:e2:90:62,80:e8:2c:e2:90:63,80:e8:2c:e0:19:36,80:e8:2c:e0:19:37,10.10.124.16,10.10.200.128,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1400,,
B12417,80:e8:2c:e2:f1:26,80:e8:2c:e2:f1:27,80:e8:2c:e2:a0:fe,80:e8:2c:e2:a0:ff,10.10.124.17,10.10.200.127,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1357,,
B12418,80:e8:2c:e2:e1:3d,80:e8:2c:e2:e1:3e,80:e8:2c:e2:e1:3d,80:e8:2c:e2:e1:3e,10.10.124.18,10.10.200.128,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1402,,
B12419,80:e8:2c:e2:a0:fe,80:e8:2c:e2:a0:ff,80:e8:2c:e2:f1:26,80:e8:2c:e2:f1:27,10.10.124.19,10.10.200.127,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1396,,
B12420,80:e8:2c:e0:19:36,80:e8:2c:e0:19:37,80:e8:2c:e2:90:62,80:e8:2c:e2:90:63,10.10.124.20,10.10.200.128,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1417,,
B12501,,,80:e8:2c:e2:e1:e2,80:e8:2c:e2:e1:e3,10.10.125.1,10.10.200.129,1,,,,,,,,,,,,TR-1381,,
B12502,,,80:e8:2c:e2:ea:c1,80:e8:2c:e2:ea:c2,10.10.125.2,10.10.200.130,2,,,,,,,,,,,,TR-1321,,
B12503,,,80:e8:2c:e2:af:3f,80:e8:2c:e2:af:40,10.10.125.3,10.10.200.129,3,,,,,,,,,,,,TR-1366,,
B12504,,,,,10.10.125.4,10.10.200.130,4,,,,,,,,,,,,TR-,,
B12505,,,,,10.10.125.5,10.10.200.129,5,,,,,,,,,,,,TR-,,
B12506,80:e8:2c:e2:8e:4e,80:e8:2c:e2:8e:4f,80:e8:2c:e2:dd:86,80:e8:2c:e2:dd:87,10.10.125.6,10.10.200.130,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1409,,
B12507,80:e8:2c:e2:df:d6,80:e8:2c:e2:df:d7,80:e8:2c:e2:df:45,80:e8:2c:e2:df:46,10.10.125.7,10.10.200.129,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1405,,
B12508,80:e8:2c:e2:df:ab,80:e8:2c:e2:df:ac,80:e8:2c:e2:df:ab,80:e8:2c:e2:df:ac,10.10.125.8,10.10.200.130,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1404,,
B12509,80:e8:2c:e2:df:45,80:e8:2c:e2:df:46,80:e8:2c:e2:df:d6,80:e8:2c:e2:df:d7,10.10.125.9,10.10.200.129,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1403,,
B12510,80:e8:2c:e2:dd:86,80:e8:2c:e2:dd:87,80:e8:2c:e2:8e:4e,80:e8:2c:e2:8e:4f,10.10.125.10,10.10.200.130,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1395,,
B12511,80:e8:2c:e2:bb:74,80:e8:2c:e2:bb:75,80:e8:2c:e2:f5:38,80:e8:2c:e2:f5:39,10.10.125.11,10.10.200.129,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1408,,
B12512,80:e8:2c:e2:e1:17,80:e8:2c:e2:e1:18,80:e8:2c:e2:d7:d8,80:e8:2c:e2:d7:d9,10.10.125.12,10.10.200.130,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1407,,
B12513,80:e8:2c:e2:f5:29,80:e8:2c:e2:f5:2a,80:e8:2c:e2:f5:29,80:e8:2c:e2:f5:2a,10.10.125.13,10.10.200.129,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1406,,
B12514,80:e8:2c:e2:d7:d8,80:e8:2c:e2:d7:d9,80:e8:2c:e2:e1:17,80:e8:2c:e2:e1:18,10.10.125.14,10.10.200.130,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1410,,
B12515,80:e8:2c:e2:f5:38,80:e8:2c:e2:f5:39,80:e8:2c:e2:bb:74,80:e8:2c:e2:bb:75,10.10.125.15,10.10.200.129,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1411,,
B12516,80:e8:2c:e2:ea:fb,80:e8:2c:e2:ea:fc,80:e8:2c:e2:f4:d1,80:e8:2c:e2:f4:d2,10.10.125.16,10.10.200.130,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1413,,
B12517,80:e8:2c:e2:d4:73,80:e8:2c:e2:d4:74,80:e8:2c:e0:27:ef,80:e8:2c:e0:27:f0,10.10.125.17,10.10.200.129,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1412,,
B12518,80:e8:2c:e2:f4:e8,80:e8:2c:e2:f4:e9,80:e8:2c:e2:f4:e8,80:e8:2c:e2:f4:e9,10.10.125.18,10.10.200.130,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1414,,
B12519,80:e8:2c:e0:27:ef,80:e8:2c:e0:27:f0,80:e8:2c:e2:d4:73,80:e8:2c:e2:d4:74,10.10.125.19,10.10.200.129,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1416,,
B12520,80:e8:2c:e2:f4:d1,80:e8:2c:e2:f4:d2,80:e8:2c:e2:ea:fb,80:e8:2c:e2:ea:fc,10.10.125.20,10.10.200.130,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,TR-1415,,
