Rig,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Bios,Nvme,Pdu Port set,Partition,Commisioned,Deployed,RunPod,VastAi,Port Forward,Port Range,Tower Number,Notes,Company's Serial Number,GPU,,,,Notes
A02502,74:86:e2:13:b1:30,74:86:e2:13:af:fb,10.10.25.2,10.10.200.25,2,,,,,Yes,,Yes,,,Yes,,,TR-1520,,,,,,,
A02503,74:86:e2:13:b2:b1,74:86:e2:13:b1:93,10.10.25.3,10.10.200.25,3,,,,,Yes,,Yes,,,Yes,,,TR-1514,,,,,,,
A02504,74:86:e2:13:b2:d4,74:86:e2:13:b2:2c,10.10.25.4,10.10.200.25,34,,,,,Yes,,Yes,,,Yes,,,TR-1515,,,,,,,
A02505,,,10.10.25.5,10.10.200.25,5,,,,,Yes,,,,,Yes,,,TR-1513,,,,,,,
A02506,74:86:e2:13:b0:56,74:86:e2:13:ae:92,10.10.25.6,10.10.200.25,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1521,,,,,,,
A02507,74:86:e2:13:b1:44,74:86:e2:13:af:f5,10.10.25.7,10.10.200.25,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1522,,,,,,,
A02508,74:86:e2:13:b1:90,74:86:e2:13:b0:fb,10.10.25.8,10.10.200.25,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1523,,,,,,,
A02509,74:86:e2:10:64:85,74:86:e2:10:62:ca,10.10.25.9,10.10.200.25,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1524,,,,,,,
A02510,74:86:e2:10:68:b7,74:86:e2:10:67:4f,10.10.25.10,10.10.200.25,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1525,,,,,,,
A02511,74:86:e2:13:a1:de,74:86:e2:13:a0:0f,10.10.25.11,10.10.200.25,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1501,,,,,,,
A02512,74:86:e2:13:9f:e2,74:86:e2:13:9d:4d,10.10.25.12,10.10.200.25,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1502,Sent to Dell Depo,GSV8WM3,GP-7228,GP-7229,GP-7230,GP-7231,
A02513,74:86:e2:13:9f:d7,74:86:e2:13:9d:89,10.10.25.13,10.10.200.25,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,TR-1503,,,,,,,Need to Deploy and Run Vastai script
A02514,74:86:e2:13:9e:7d,74:86:e2:13:9c:bb,10.10.25.14,10.10.200.25,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1504,,,,,,,
A02515,74:86:e2:10:60:a1,74:86:e2:10:5e:ff,10.10.25.15,10.10.200.25,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1505,,,,,,,
A02516,74:86:e2:10:81:78,74:86:e2:10:7b:5a,10.10.25.16,10.10.200.25,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1496,,,,,,,
A02517,74:86:e2:10:65:88,74:86:e2:10:64:7d,10.10.25.17,10.10.200.25,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1497,,,,,,,
A02518,74:86:e2:10:52:bc,74:86:e2:10:51:36,10.10.25.18,10.10.200.25,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1498,,,,,,,
A02519,74:86:e2:10:81:86,74:86:e2:10:7e:fc,10.10.25.19,10.10.200.25,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,TR-1499,,,,,,,Need to Deploy and Run Vastai script
A02520,74:86:e2:10:65:62,74:86:e2:10:63:7b,10.10.25.20,10.10.200.25,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1500,,,,,,,
